"","Mol_don","Mol_acc","PCE","Voc","Jsc","FF","SMILES_acc","SMILES_don","DOI"
"94","P2F-EHp","Y6","15.65","0.81","26.11","0.733","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c6c(c(-c7ccc(-c8cc9c(-c%10cc(F)c(CC)c(F)c%10)c%10sc(-c%11ccc(-c%12c%13c(c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)c(F)c%17)c%17sc(-c%18ccc(-c%19c%20c(c(-c%21cccs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)s%18)cc%17c(-c%17cc(F)c(CC)c(F)c%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)s%11)cc%10c(-c%10cc(F)c(CC)c(F)c%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)s4)sc3c(-c3cc(F)c(CC)c(F)c3)c3ccsc23)cc1F","https://doi.org/10.1021/acsenergylett.9b01447"
"95","PBDB-T-2F","Y6","15.3","0.85","24.8","0.72","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","[H]C1=CC2=C(S1)C(C3=CC(F)=C(CC(CC)CCCC)S3)=C4C(SC(C5=CC=C(S5)C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C([H])S9)S6)=C4)=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","https://doi.org/10.1002/adma.21902965"
"96","PBDB-T-2F","BTP-4F","15.4","0.8","25.2","0.77","c1c(c(cc2c1C(=C(C#N)C#N)/C(=C/c1sc3c(c1CCCCCCCCCCC)sc1c3nh(c3c1c1c(c4c3n(c3c4sc4c3s/c(=C\C3=C(c5c(C3=O)cc(c(c 5)F)F)[C](C#N)C#N)/c4CCCCCCCCCCC)C[C@@H](CCCCC C)CCCC)ns[n]1)C[C@H](CCCC)CCCCCC)/C2=O)F)F","[H]C1=CC2=C(S1)C(C3=CC(F)=C(CC(CC)CCCC)S3)=C4C(SC(C5=CC=C(S5)C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C([H])S9)S6)=C4)=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","https://doi.org/10.1039/C9TC05301H"
"97","PTQ10","BTP-Ph","17.1","0.882","24.3","0.753","CC=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N.CCCC.CCCC.CCCCCC.CCCCCCc%12ccc(c1csc%10c1sc%11c9c2nsnc2c8c7sc6c(c3ccc(CCCCCC)cc3)c(C=c5c(=O)c4cc(F)c(F)cc4c5=C(C#N)C#N)sc6c7n(CC(CC)CCCC)c8c9n(CC(CC)CCCC)c%10%11)cc%12.CC.CCCC","[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3","https://doi.org/10.1002/aenm.20210079"
"98","PTQ10","BTP-Th","16.8","0.872","24.8","0.747","CC=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N.CCCC.CCCC.CCCCCC.CCCCCCCCc%12ccc(c1csc%10c1sc%11c9c2nsnc2c8c7sc6c(c3ccc(CCCCCCCC)s3)c(C=c5c(=O)c4cc(F)c(F)cc4c5=C(C#N)C#N)sc6c7n(CC(CC)CCCC)c8c9n(CC(CC)CCCC)c%10%11)s%12.CC","[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3","https://doi.org/10.1002/aenm.20210079"
"99","PTQ10","BTP-C11","16.4","0.852","24.7","0.741","CC=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N.CCCC.CCCC.CCCCCCCCCCCC.CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc9c3sc%10c8c4nsnc4c7c6sc5ccsc5c6n(CC(CC)CCCC)c7c8n(CC(CC)CCCC)c9%10","[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3","https://doi.org/10.1002/aenm.20210079"
"100","PM6","Y6-BO","16","0.83","25.8","0.74","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","https://doi.org/10.1002/anie.202016265"
"101","PBDB-TF","Y11","16.54","0.833","26.74","0.7443","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1038/s41566-019-0573-5"
"102","PTQ10","m-BTP- PhC6","17.7","0.878","24.8","0.774","CCCCCCc%14cccc(c3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c4nsnc4c%10c9sc8c(c5cccc(CCCCCC)c5)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13)c%14.C","[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3","https://doi.org/10.1039/D0EE03506H"
"103","PM6","TPT10","16.26","0.889","23.91","0.73","CCOc1nc2cc(F)c(F)c(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6c(F)c(F)c(-c7cccs7)c7nc(C)c(OCC)nc67)s5)c5nc(C)c(OCC)nc45)s3)c2nc1C","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","https://doi.org/10.1039/D0TA04941G"
"104","PTQ10","p-BTP- PhC6","17.1","0.888","24.3","0.779","CCCCCCc%14ccc(c3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c4nsnc4c%10c9sc8c(c5ccc(CCCCCC)cc5)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13)cc%14.C.C.C","[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3","https://doi.org/10.1039/D0EE03506H"
"105","PBDB-TF","BTIC-2Cl-yCF","16.31","0.84","25.09","0.7699","CCc1c(/C=C2\C(=O)c3cc(C(F)(F)F)ccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","10.1002/ange.202013053"
"106","SZ5","BPS-4F","16.3","0.82","25.4","0.779","CCn1c2c(sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)[se]c32)c2c3nsnc3c3c4sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)[se]c5c4n(CC)c3c21","CCc1csc(-c2nc3sc(-c4cc(CC)c(-c5cc6c(-c7cc(Cl)c(CC)s7)c7sc(-c8ccc(-c9sc(-c%10ccc(-c%11cc%12c(-c%13cc(Cl)c(CC)s%13)c%13sccc%13c(-c%13cc(Cl)c(CC)s%13)c%12s%11)s%10)c%10c9C(=O)c9c(CC)sc(CC)c9C%10=O)s8)cc7c(-c7cc(Cl)c(CC)s7)c6s5)s4)nc3s2)c1",": 10.1002/nano.202100036"
"107","L1","BTP-eC9","16.12","0.831","25.14","0.78","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCc1csc(-c2cc3oc(=O)c4cc(-c5cc(CC)c(-c6cc7c(-c8ccc(CC)s8)c8sc(-c9sc(-c%10cc%11oc(=O)c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16ccc(CC)s%16)c%16sc(-c%17sc(-c%18cc%19oc(=O)c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24ccc(CC)s%24)c%24sccc%24c(-c%24ccc(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16ccc(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8ccc(CC)s8)c7s6)s5)sc4c3s2)c1","10.1039/d2ta07463j "
"108","PM6","Y6-2Cl","15.38","0.847","25.67","0.707","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(Cl)c(Cl)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(Cl)c(Cl)cc5c6=C(C#N)C#N)sc7c8n(CC(CC)CCCC)c9c%10n(CC(CC)CCCC)c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","https://doi.org/10.1016/j.joule.2019.12.004"
"109","PM6","Y6-C2","15.59","0.844","25.76","0.717","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(Cl)c(Cl)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(Cl)c(Cl)cc5c6=C(C#N)C#N)sc7c8n(CCC(CC)CCCC)c9c%10n(CCC(CC)CCCC)c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","https://doi.org/10.1016/j.joule.2019.12.004"
"110","PBDB-TF","S-WSeSe-Cl","16.01","0.828","26.35","0.7341","CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)[se]c2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7/C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)[se]c6c5n(CC)c4c3n(CC)c12","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F",""
"111","D18","FOEH-2F","15.51","0.88","23.75","0.738","CCCCCCC(CC)C%11(C(CC)CCCCCC)Oc7cc6c5cc4OC(C(CC)CCCCCC)(C(CC)CCCCCC)c3cc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc3c4cc5C(C(CC)CCCCCC)(C(CC)CCCCCC)c6cc7c%10sc(C=c9c(=O)c8cc(F)c(F)cc8c9=C(C#N)C#N)cc%10%11","CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC","http://dx.doi.org/10.1016/j.orgel.2022.106541"
"112","PBDB-TF","Y22 ","15.4","0.853","24.37","0.7412","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nn(CC)nc4c4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c(CC)c5n(CC)c4c3n(CC)c21","10.1039/D0TA01636E"
"113","D18","BTP-eC11","16.6","0.86","25.8","0.722","c1c(c(cc2c1C(=C(C#N)C#N)/C(=C/c1sc3c(c1CCCCCCCCCCC)sc1c3n(c3c1c1c(c4c3n(c3c4sc4=C([C](Sc34)/C=C/3\C(=O)c4c(C3=C(C#N)C#N)cc(c(c4)Cl)Cl)CCCCCCCCCCC)C[C@@H](CC CCCC)CCCC)ns[n]1)C[C@H](CCCC)CCCCCC)/C2=O)Cl)Cl","CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC","http://dx.doi.org/10.1007/s11426-021-1128-1"
"114","PM6","Y11","15.65","0.84","24.62","0.733","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","http://dx.doi.org/10.1007/s11426-020-9747-9"
"115","PM6","Y18","16.37","0.84","24.91","0.764","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nn(CC)nc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","http://dx.doi.org/10.1007/s11426-020-9747-9"
"116","PM6","BTP-eC9","17.46","0.838","26.37","0.777","c1c(c(cc2c1C(=C(C#N)C#N)/C(=C/c1sc3c(c1CCCCCCCCC)sc1c3n(c3c1c1c(c4c3n(c3c4sc4c3s/c(=C\C3=C(c5c(C3=O)cc(c(c5)Cl)Cl)[C](C#N)C#N)/c4CCCCCCCCC)C[C@@H](CCCCCC)CCCC)ns[n]1)C[C@H](CCCC)CCCCCC)/C2=O)Cl)Cl","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","http://dx.doi.org/10.1002/adma.202101733"
"117","PM6","L8-B0-F","16.82","0.932","23.07","0.763","CCCCCCC(CCCC)Cc3c(C=c2c(=O)c1ccc(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CC(CCCC)CCCCCC)c(CC/6C(=O)c5cc(F)ccc5C6=C(C#N)\C#N)sc7c8n(CC(CC)CCC)c9c%10n(CC(CC)CCCC)c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","http://dx.doi.org/10.1002/adma.202101733"
"118","PM6","BT-BO- L4F","16.17","0.83","27.62","0.705","CCCCCCC(CCCC)CN9/C4=C(SC5/C([C11])=C(C=c3c(=O)c2CC\1/C=C(F)\C(F)=C/C1=C/c2c3=C(C#N)C#N)\SC45)\C8c6nsnc6c7c(S)c(C)n(CC(CCCC)CCCCCC)c7C89.Cc4csc(C([C11])=c3c(=O)c2cc1cc(F)c(F)cc1cc2c3=C(C#N)C#N)c4.C","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","http://dx.doi.org/10.1002/aenm.202102172"
"119","PBDBT-2F","Y6","16.09","0.82","26.22","0.749","CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(C=C2C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC)C=C1C(=O)C2=CC(F)=C(F)C=C2C1=C(C#N)C#N","[H]C1=CC2=C(S1)C(C3=CC(F)=C(CC(CC)CCCC)S3)=C4C(SC(C5=CC=C(S5)C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C([H])S9)S6)=C4)=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","http://dx.doi.org/10.1021/acsami.0c09123"
"121","PM6","PY-T-y","16.1","0.929","24.1","0.719","CC(C)(C)c%13ccc%12c(=C(C#N)C#N)c(=Cc%11sc9c(sc%10c8c1nsnc1c7c6sc5c([C11])c(C=c4c(=O)c3cc(c2ccc(C(C)(C)C)s2)ccc3c4=C(C#N)C#N)sc5c6n(CC([C8])[C10])c7c8n(CC([C8])[C10])c9%10)c%11[C11])c(=O)c%12c%13","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/adma.202200361"
"122","PTQ10","o-BTP-C6Ph","16","0.924","22.8","0.762","CCCCCCc1ccccc1c4c(C=c3c(=O)c2cc(F)c(F)cc2c3=C(C#N)C#N)sc%13c4sc%14c%12c5nsnc5c%11c%10sc9c(c6ccccc6CCCCCC)c(C=c8c(=O)c7cc(F)c(F)cc7c8=C(C#N)C#N)sc9c%10n(CC(CC)CCCC)c%11c%12n(CC(CC)CCCC)c%13%14","[H]C1=C(F)C(F)=C(C2=CC=C([H])S2)C3=C1N=C(OCC(CCCCCC)CCCCCCCC)C=N3","10.1039/d0ee03506h"
"123","PBNT-BDD","Y6-BO","16.1","0.87","25.4","0.71","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12","CCCCCCCCC(CN1B(C2=C(C3=CC4=C(C5=C(B(N4CC(CCCCCCCC)CCCCCC)C6=CC=CC=C6)C=CS5)C=C31)SC(C7=CC=C(S7)C8=C9C(C%10=C(SC(CC(CCCC)CC)=C%10C(C9=C(S8)C%11=CC=CS%11)=O)CC(CCCC)CC)=O)=C2)C%12=CC=CC=C%12)CCCCCC","https://doi.org/10.1002/anie.202016265"
"124","PM6","Y-Bo-FBr","16.47","0.85","25.83","0.75","CCCCCCC(CCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(Br)c(F)cc1c2=C(C#N)C#N)c([C11])c3sc4c%11c5nsnc5c%10c9sc8c([C11])c(C=c7c(=O)c6cc(Br)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCC)CCCCCC)c%10c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1039/d1ee01832a"
